restaurant_id,name,price,city,region,timing,rating_type,rating,votes,url
629,The Coffee Bean & Tea Leaf,600.0,Mumbai,High Street Phoenix-- Lower Parel,830am to 11pm(Mon-Sun),Good,3.8,299.0,https://www.zomato.com/mumbai/the-coffee-bean-tea-leaf-1-lower-parel/info
630,Baker's Treat,700.0,Mumbai,Vashi,9am to 1130pm(Mon-Sun),Very Good,4.0,276.0,https://www.zomato.com/mumbai/bakers-treat-vashi-navi-mumbai/info
631,Cafe Noorani,750.0,Mumbai,Tardeo,8am to 12midnight(Mon-Sun),Good,3.7,1437.0,https://www.zomato.com/mumbai/cafe-noorani-tardeo/info
632,Orchids,1200.0,Mumbai,Hotel Royal Orchid-- Chembur,"12noon to 3pm,7pm to 12midnight(Mon-Sun)",Very Good,4.1,1035.0,https://www.zomato.com/mumbai/orchids-chembur/info
633,Burgers Point,250.0,Mumbai,Naupada-- Thane West,10am to 10pm(Mon-Sun),Average,3.2,81.0,https://www.zomato.com/mumbai/burgers-point-1-naupada-thane-west/info
634,Mumbai 77,600.0,Mumbai,Ghatkopar East,"12noon to 1130pm(Mon,Tue,Wed,Fri,Sat,Sun)...",Good,3.9,876.0,https://www.zomato.com/mumbai/mumbai-77-ghatkopar-east/info
635,Starbucks Coffee,700.0,Mumbai,Viviana Mall-- Majiwada-- Thane West,11am to 11pm(Mon-Sun),Very Good,4.3,840.0,https://www.zomato.com/mumbai/starbucks-coffee-majiwada-thane-west-thane/info
636,Olive Fast Food,300.0,Mumbai,Virar,9am to 11pm(Mon-Sun),,,,https://www.zomato.com/mumbai/olive-fast-food-virar/info
637,Minus 30 Degree,200.0,Mumbai,Virar,12noon to 12midnight(Mon-Sun),Good,3.8,58.0,https://www.zomato.com/mumbai/minus-30-degree-1-virar/info
638,Rainbow Juice Centre,250.0,Mumbai,Galleria Shopping Centre-- Powai,930am to 1030pm(Mon-Sun),Good,3.9,142.0,https://www.zomato.com/mumbai/rainbow-juice-centre-1-powai/info
639,Choice Restaurant,500.0,Mumbai,Marol,11am to 12midnight(Mon-Sun),Good,3.9,217.0,https://www.zomato.com/mumbai/choice-restaurant-marol/info
640,NAME,,CITY,REGION,TIMING,RATING_TYPE,,,URL
641,Hunger Foodzz,300.0,Mumbai,Kurla,12noon to 11pm(Mon-Sun),Good,3.8,91.0,https://www.zomato.com/mumbai/hunger-foodzz-kurla/info
642,Callisto Bistro Bar,1000.0,Mumbai,Borivali West,1130am to 12midnight(Mon-Sun),,,,https://www.zomato.com/mumbai/callisto-bistro-bar-borivali-west/info
643,Unique Chinese Point,400.0,Mumbai,Chembur,11am to 11pm(Mon-Sun),Good,3.5,50.0,https://www.zomato.com/mumbai/unique-chinese-point-1-chembur/info
644,The Friends Bench All Day Cafe,700.0,Mumbai,Vile Parle East,11am to 11pm(Mon-Sun),Very Good,4.4,828.0,https://www.zomato.com/mumbai/the-friends-bench-all-day-cafe-vile-parle-east/info
